COLOR,id_COLOR
Action Grape/Black/Black/Metallic Silver,1
Action Grape/Pinksicle/Light Smoke Grey,2
Action Grape/Pinksicle/Off-Noir/Light Smoke Grey,3
Action Green/College Navy,4
Active Pink,5
Active Pink/Active Pink,6
Active Pink/Active Pink/Active Pink/White,7
Active Pink/Active Pink/White,8
Active Pink/Armoury Navy/Black,9
Active Pink/Black,10
Active Pink/Brushed Silver,11
Active Pink/Mystic Hibiscus,12
Active Pink/Sangria,13
Active Pink/Siren Red/Black,14
Active Pink/White,15
Active Pink/White/Washed Teal/Active Pink,16
Ale Brown/Light Bone/White,17
Ale Brown/White,18
Alligator,19
Alligator/Alligator/Black/White,20
Alligator/Alligator/White,21
Alligator/Black,22
Alligator/Medium Olive/Alligator,23
Alligator/Medium Olive/Black,24
Alligator/Olive Aura,25
Alligator/Olive Aura/Medium Ash,26
Alligator/Rough Green,27
Alligator/Rough Green/Black,28
Alligator/White,29
Aluminium/Obsidian/Midnight Navy/Pale Ivory,30
Amarillo,31
Amarillo/Field Purple,32
Amarillo/Field Purple/White/Field Purple,33
Amber/Black/Metal Silver/Black,34
Amber/Black/Metallic Gold,35
Amethyst Ash,36
Amethyst Ash/Sail/Red Plum,37
Amethyst Smoke/Amethyst Smoke/White,38
Amethyst Smoke/Black,39
Amethyst Tint/Black/Chlorine Blue/Bright Crimson,40
Amethyst Wave/Psychic Purple/Canyon Purple/Metalli,41
Anthracite,42
Anthracite/Anthracite,43
Anthracite/Anthracite/Vivid Orange,44
Anthracite/Anthracite/White,45
Anthracite/Black,46
Anthracite/Black/Black,47
Anthracite/Black/Black/Black,48
Anthracite/Black/Pepper Red/Vivid Orange,49
Anthracite/Black/Smoke Grey,50
Anthracite/Black/University Red,51
Anthracite/Black/White,52
Anthracite/Black/White/Racer Blue,53
Anthracite/Heather/White,54
Anthracite/Iron Grey,55
Anthracite/Light Bone,56
Anthracite/Light Green Spark/Sail,57
Anthracite/Medium Ash/Kumquat/Blackened Blue,58
Anthracite/Pale Ivory,59
Anthracite/Sail/Coconut Milk/Mint Foam,60
Anthracite/Smoke Grey/Chrome Yellow,61
Anthracite/University Red/White,62
Anthracite/White,63
Anthracite/Wolf Grey/Black,64
Aquamarine/Black/Hyper Crimson,65
Archaeo Brown,66
Archaeo Brown/Archaeo Brown/Black,67
Archaeo Brown/Black/Black,68
Archaeo Brown/Light Chocolate,69
Archaeo Brown/Sail/Ice Silver/Archaeo Brown,70
Archaeo Brown/White,71
Archaeo Pink/Archaeo Pink,72
Archaeo Pink/Archaeo Pink/White,73
Archaeo Pink/Black,74
Archaeo Pink/Bronze Eclipse/Cedar/Sail,75
Archaeo Pink/Heather/White,76
